date,grutto,kievit,scholekster,tureluur,year
1990-01-1,100,100,100,100,1990
1991-04-15,100,101,96,104,1991
1992-04-16,94,98,85,99,1992
1993-04-17,96,107,77,123,1993
1994-04-18,95,105,71,105,1994
1995-04-19,88,103,73,99,1995
1996-04-20,82,107,73,102,1996
1997-04-21,82,98,66,98,1997
1998-04-22,80,92,60,118,1998
1999-04-23,79,98,59,109,1999
2000-04-24,84,94,55,113,2000
2001-04-25,81,92,54,110,2001
2002-04-26,78,91,53,107,2002
2003-04-27,76,93,50,105,2003
2004-04-28,72,93,50,109,2004
2005-04-29,62,84,45,98,2005
2006-04-30,60,83,45,91,2006
2007-04-31,50,75,36,87,2007
2008-05-1,50,75,39,90,2008
2009-05-2,47,65,38,80,2009
2010-05-3,48,64,38,86,2010
2011-05-4,48,62,37,78,2011
2012-05-5,40,53,34,77,2012
2013-05-6,42,57,33,71,2013
2014-05-7,40,56,34,75,2014
2015-05-8,39,62,32,77,2015
2016-05-9,36,52,31,74,2016
2017-05-10,35,51,30,72,2017
